date,aiae,eq,debt
1982-10-01,0.25545298407075906,1545.0430000000001,4503.205
1983-01-01,0.2699226790366732,1709.2330000000002,4623.073
1983-04-01,0.28720474174934124,1923.683,4774.267
1983-07-01,0.27722865506793953,1890.158,4927.889
1983-10-01,0.26701762906010645,1829.812,5022.964
1984-01-01,0.2473280355508633,1720.443,5235.674999999999
1984-04-01,0.23088630347160785,1629.309,5427.45
1984-07-01,0.2373700530521274,1743.761,5602.41
1984-10-01,0.2337991137711561,1763.171,5778.222
1985-01-01,0.24082299295323026,1905.766,6007.789
1985-04-01,0.2449480018615588,2012.1550000000002,6202.466
1985-07-01,0.2272699774793014,1885.919,6412.225
1985-10-01,0.24773576092689203,2226.022,6759.447
1986-01-01,0.2664374797907983,2514.018,6921.659000000001
1986-04-01,0.2686472367082135,2621.586,7136.884
1986-07-01,0.24452511887143122,2382.1730000000002,7359.865
1986-10-01,0.25600264301295633,2609.8,7584.625999999999
1987-01-01,0.2884360067879587,3136.272,7737.1
1987-04-01,0.28763160840657337,3198.9049999999997,7922.629999999999
1987-07-01,0.2935169494557649,3363.362,8095.472
1987-10-01,0.24018866141654188,2615.6,8274.173
1988-01-01,0.24681390033546038,2772.3669999999997,8460.254
1988-04-01,0.25114914617717965,2899.595,8645.716
1988-07-01,0.24505943364740315,2863.593,8821.707
1988-10-01,0.24554320498632456,2946.9570000000003,9054.829
1989-01-01,0.25087570341427384,3092.46,9234.202
1989-04-01,0.259715381781862,3303.923,9417.399
1989-07-01,0.27104025250462355,3564.7419999999997,9587.334
1989-10-01,0.2697861870540745,3615.6099999999997,9786.150999999998
1990-01-01,0.25622870516644103,3450.376,10015.625
1990-04-01,0.26033394761176804,3588.635,10196.101999999999
1990-07-01,0.22519212638061906,3010.696,10358.759000000002
1990-10-01,0.24058676523451206,3333.71,10522.871
1991-01-01,0.26585746517122033,3852.473,10638.273
1991-04-01,0.2621714039542482,3824.24,10762.553
1991-07-01,0.270639827101765,4047.8990000000003,10908.875999999998
1991-10-01,0.29196784977372603,4568.797,11079.491
1992-01-01,0.28615671291438705,4501.369,11229.063999999998
1992-04-01,0.28273960676652765,4484.32,11375.927
1992-07-01,0.2850015441304688,4604.121,11550.602
1992-10-01,0.304441371243614,5107.703,11669.593
1993-01-01,0.3096779933133717,5304.972,11825.635000000002
1993-04-01,0.30677741360011956,5331.916,12048.490000000002
1993-07-01,0.3106619518191058,5533.277999999999,12277.973
1993-10-01,0.3150754373208978,5753.004,12506.128
1994-01-01,0.3035889686728927,5509.287,12637.904
1994-04-01,0.29785746266828383,5434.452,12810.690999999999
1994-07-01,0.3044625091432785,5683.732,12984.353
1994-10-01,0.3016580260783525,5690.731,13174.111
1995-01-01,0.31553824396729935,6155.8640000000005,13353.226
1995-04-01,0.3292032330548416,6678.12,13607.586000000001
1995-07-01,0.34417385039855036,7228.248,13773.487000000001
1995-10-01,0.3552458658446788,7690.711,13958.27
1996-01-01,0.3615503632780376,8030.526,14180.836000000001
1996-04-01,0.3672639730110773,8359.855,14402.669
1996-07-01,0.3685365748038316,8510.394,14582.005999999998
1996-10-01,0.3807177154197395,9054.914,14728.886
1997-01-01,0.3800392502841433,9139.079,14908.644999999999
1997-04-01,0.411526372239205,10573.387,15119.709999999997
1997-07-01,0.4284059326831862,11532.671,15387.29
1997-10-01,0.4308466376744581,11787.07,15570.855000000001
1998-01-01,0.45871597541343395,13421.751,15837.641999999998
1998-04-01,0.4586157400403522,13690.21,16160.946
1998-07-01,0.4257491057507592,12112.614,16337.507999999998
1998-10-01,0.4655587092846781,14439.037999999999,16575.392
1999-01-01,0.4685675994619045,14844.512999999999,16836.108999999997
1999-04-01,0.48560165749480677,16092.904,17047.229999999996
1999-07-01,0.4661802204093774,15151.397,17349.761000000002
1999-10-01,0.5062843623469522,17973.267,17527.073
2000-01-01,0.5149383899561065,18885.212,17789.489999999998
2000-04-01,0.5035526336072701,18162.222999999998,17905.949
2000-07-01,0.501804120582506,18228.819,18097.744
2000-10-01,0.47320568812913577,16391.413,18247.674000000003
2001-01-01,0.438637798491771,14520.138,18582.659
2001-04-01,0.4540154631749132,15599.539999999999,18759.51
2001-07-01,0.4091112403149499,13213.042,19083.9
2001-10-01,0.43330239943812787,14774.503,19322.938000000002
2002-01-01,0.4331954866117284,14957.463,19570.743
2002-04-01,0.39896142272509694,13221.562,19918.389000000003
2002-07-01,0.35358118211026623,11082.755000000001,20261.546000000002
2002-10-01,0.3638486258687514,11819.198,20664.635
2003-01-01,0.35333956354688223,11451.666,20958.138000000003
2003-04-01,0.3798447448810237,13214.785,21575.179
2003-07-01,0.3842746963177118,13728.72,21997.597999999998
2003-10-01,0.4028373239478106,15249.251,22605.361999999997
2004-01-01,0.39949007983301177,15848.294,23823.014000000003
2004-04-01,0.3970425231543068,16035.005000000001,24351.11
2004-07-01,0.38751429750144906,15764.492,24916.566999999995
2004-10-01,0.40276854227671494,17240.238,25564.093
2005-01-01,0.39516504881477504,17011.361,26037.388000000003
2005-04-01,0.39543585965353395,17432.311,26651.477999999996
2005-07-01,0.39854894262681084,17974.753,27125.738
2005-10-01,0.3975877462748495,18199.791,27575.742000000002
2006-01-01,0.4061207317428866,19396.104,28363.349
2006-04-01,0.3933204974330604,18810.034,29013.646999999997
2006-07-01,0.39699396210590243,19438.909,29526.341999999997
2006-10-01,0.4067238427835074,20645.589,30115.116
2007-01-01,0.4081722330004724,21212.244,30756.612
2007-04-01,0.4116156066788754,22029.112,31489.539
2007-07-01,0.4076256578388152,22088.283,32099.382999999998
2007-10-01,0.39238428897491734,21053.133,32601.239999999998
2008-01-01,0.3665369529511702,19254.295000000002,33276.002
2008-04-01,0.35923496462619037,18651.65,33268.825
2008-07-01,0.3371553211362619,17128.433,33674.363
2008-10-01,0.290874568324968,13732.86,33479.44899999999
2009-01-01,0.2646715104024771,12219.34,33948.606
2009-04-01,0.29034432687430817,14103.469000000001,34471.508
2009-07-01,0.3189213697797606,16334.715,34883.913
2009-10-01,0.32718714502766155,17012.465,34983.664
2010-01-01,0.3353950976105766,17925.355,35520.134
2010-04-01,0.30967794112250796,16136.002,35969.75
2010-07-01,0.32656086273308843,17739.641,36582.977
2010-10-01,0.34616633477426667,19527.712,36883.643
2011-01-01,0.35757403176968755,20704.179,37197.618
2011-04-01,0.35234569298954177,20515.452,37709.899999999994
2011-07-01,0.3141716730837366,17477.455,38152.815
2011-10-01,0.33190184082041974,19149.936,38547.653
2012-01-01,0.3555649371134306,21470.164,38913.079
2012-04-01,0.34499706574842154,20762.128,39418.465000000004
2012-07-01,0.35293124545948895,21787.068,39944.69500000001
2012-10-01,0.3498769102537514,21738.802,40393.912
2013-01-01,0.37333932271925463,24348.292,40869.301
2013-04-01,0.3778371423714617,24898.944,40999.67
2013-07-01,0.38738348942236767,26205.235999999997,41441.519
2013-10-01,0.4026714545142007,28293.084000000003,41970.36200000001
2014-01-01,0.40698942528027754,29183.32,42522.032
2014-04-01,0.41450715574659247,30423.91,42973.882
2014-07-01,0.41203856066842337,30292.130999999998,43225.578
2014-10-01,0.42053788444799645,31655.636,43618.524
2015-01-01,0.41998894551195876,31869.728,44012.574
2015-04-01,0.4161697301336945,31724.990999999998,44505.903999999995
2015-07-01,0.39550963592595545,29323.226000000002,44817.132000000005
2015-10-01,0.40369185436942884,30621.738,45232.50000000001
2016-01-01,0.4018533300046206,30815.036,45867.26
2016-04-01,0.4036666231874159,31442.223,46449.33700000001
2016-07-01,0.4084403226591487,32400.216,46926.467
2016-10-01,0.41376419754822596,33188.162000000004,47022.166
2017-01-01,0.4242463527385065,34943.61,47422.708
2017-04-01,0.42656041657609384,35714.351,48012.009
2017-07-01,0.43176387750815365,36886.933000000005,48546.182
2017-10-01,0.4419949530284406,39026.614,49269.901
2018-01-01,0.436217925961108,38675.21,49985.08500000001
2018-04-01,0.4392700473035009,39785.449,50786.282999999996
2018-07-01,0.44941359878270015,41883.743,51312.687000000005
2018-10-01,0.4100702973352936,36132.821,51980.903000000006
2019-01-01,0.43579774570312635,40739.21,52742.71
2019-04-01,0.44039834107486653,42003.633,53372.823000000004
2019-07-01,0.4365262801271987,42170.668,54434.439
2019-10-01,0.45157458939017603,45245.707,54949.71600000001
2020-01-01,0.38814130393751434,35648.552,56195.711
2020-04-01,0.4202945719041762,43392.976,59851.222
2020-07-01,0.4392907492921144,47465.651,60584.999
2020-10-01,0.4713014101772799,54919.797999999995,61608.175
2021-01-01,0.4867160512579838,59112.138000000006,62338.835
2021-04-01,0.5004283136954025,64009.079,63899.509
2021-07-01,0.49823780217870633,64293.735,64748.531
2021-10-01,0.5116288889822166,69329.89600000001,66178.277
2022-01-01,0.49488936667095745,65919.132,67280.602
2022-04-01,0.4475008173571304,55039.903,67954.06899999999
2022-07-01,0.43371734940238055,52579.628,68650.54200000002
2022-10-01,0.44485526360338545,55355.139,69078.904
