date,sales_3mma
2019-08,34529954.0
2019-09,35790790.7
2019-10,36840633.7
2019-11,36850780.0
2019-12,36170894.7
2020-01,35341221.7
2020-02,34525006.3
2020-03,34853331.3
2020-04,34376771.3
2020-05,34554091.0
2020-06,34474474.3
2020-07,35227244.0
2020-08,36376009.0
2020-09,37842088.3
2020-10,39359182.3
2020-11,40239881.7
2020-12,39626558.7
2021-01,40026757.0
2021-02,39643262.7
2021-03,41114264.3
2021-04,42047614.0
2021-05,43901508.7
2021-06,44850130.7
2021-07,45666772.7
2021-08,47322506.3
2021-09,48479736.7
2021-10,49136896.7
2021-11,50094545.0
2021-12,50853373.0
2022-01,50735464.7
2022-02,50041122.3
2022-03,50583049.0
2022-04,50938287.0
2022-05,51652280.0
2022-06,50168058.3
2022-07,49000369.7
2022-08,47237525.0
2022-09,47004746.0
2022-10,46943198.0
2022-11,45579552.0
2022-12,43605544.7
2023-01,41335948.0
2023-02,39700605.3
2023-03,39837037.3
2023-04,40103670.7
2023-05,41187221.7
2023-06,42238076.7
2023-07,43229118.3
2023-08,44046841.0
2023-09,44891473.0
2023-10,46606402.7
2023-11,47979850.7
2023-12,48661888.0
2024-01,47955948.7
2024-02,46900674.0
2024-03,47044820.7
2024-04,47211663.7
2024-05,49232598.0
2024-06,50102750.7
2024-07,51477762.3
2024-08,53299199.0
2024-09,55515817.0
2024-10,57151961.7
2024-11,58018770.0
2024-12,57519480.3
2025-01,56510147.3
2025-02,54885168.7
2025-03,55538267.7
2025-04,56980032.7
2025-05,59089469.0
2025-06,60117258.7
2025-07,62452967.0
2025-08,65376689.3
2025-09,69931717.3
2025-10,73113878.0
2025-11,77350333.0
2025-12,79626191.3
2026-01,82670709.7
2026-02,89228104.0
2026-03,99515210.7
2026-04,110480507.0
