date,mdm2_v1
2003-03-01,2458.3702542430647
2003-04-01,2425.484717636102
2003-05-01,2576.9869076157106
2003-06-01,2803.6553263803276
2003-07-01,2883.519862458878
2003-08-01,2737.7969903882367
2003-09-01,2815.829728440548
2003-10-01,2890.0823723228996
2003-11-01,3005.2999753106737
2003-12-01,2987.5695610655603
2004-01-01,3114.532809391493
2004-02-01,3110.9804305923094
2004-03-01,3109.030676042157
2004-04-01,3206.6656987530046
2004-05-01,3088.7869082333445
2004-06-01,3090.0938211822427
2004-07-01,2985.868925942999
2004-08-01,2972.996929310836
2004-09-01,3048.8334750165295
2004-10-01,3103.52989121916
2004-11-01,3293.820145793984
2004-12-01,3386.6137442602535
2005-01-01,3422.933383093861
2005-02-01,3465.7317243628568
2005-03-01,3518.3846905385913
2005-04-01,3365.1149834411463
2005-05-01,3386.386788084581
2005-06-01,3442.311531550901
2005-07-01,3569.725681974479
2005-08-01,3518.695923239512
2005-09-01,3701.441733105399
2005-10-01,3610.3493430063672
2005-11-01,3646.8239073971204
2005-12-01,3649.8998175782767
2006-01-01,3800.7607613557007
2006-02-01,3695.33806090574
2006-03-01,3831.5630862866174
2006-04-01,3895.517783425642
2006-05-01,3751.3832425847922
2006-06-01,3670.495344289092
2006-07-01,3713.82151560868
2006-08-01,3600.9299504700293
2006-09-01,3765.1602324377195
2006-10-01,3823.5000071411228
2006-11-01,4190.572955152618
2006-12-01,4283.668309769636
2007-01-01,4376.129131955663
2007-02-01,4501.787140994911
2007-03-01,4432.591166541112
2007-04-01,4724.460342232105
2007-05-01,5269.9252887822895
2007-06-01,5604.48969510689
2007-07-01,5689.576017598754
2007-08-01,4901.7552874993235
2007-09-01,4844.246593821665
2007-10-01,5075.039377498956
2007-11-01,5092.747128904153
2007-12-01,4747.417790189607
2008-01-01,4863.212504156967
2008-02-01,4959.07417148869
2008-03-01,4555.658409387223
2008-04-01,4308.628849270664
2008-05-01,4422.021436338217
2008-06-01,4479.551647102881
2008-07-01,4406.214703768354
2008-08-01,4161.187834687028
2008-09-01,4391.862710228139
2008-10-01,3480.5201319138805
2008-11-01,2832.1166064532204
2008-12-01,2561.763379526369
2009-01-01,2473.241645554349
2009-02-01,2399.901434014881
2009-03-01,2432.1162835066298
2009-04-01,2478.9360155402746
2009-05-01,2537.5301803721063
2009-06-01,2566.8790561866826
2009-07-01,2702.593489691026
2009-08-01,2791.5750915750914
2009-09-01,3003.060886829914
2009-10-01,3126.851164599018
2009-11-01,2946.9061876247506
2009-12-01,3082.622588754963
2010-01-01,3143.010486334737
2010-02-01,3091.9165503735067
2010-03-01,3259.2010324397256
2010-04-01,3454.7856174311496
2010-05-01,3119.5957718666514
2010-06-01,3050.5209721723204
2010-07-01,3095.873603796516
2010-08-01,3089.020361652413
2010-09-01,3309.438333696537
2010-10-01,3460.471693809589
2010-11-01,3519.626806235067
2010-12-01,3555.1500589355337
2011-01-01,3693.841111990055
2011-02-01,3915.261463206669
2011-03-01,3961.5783313827114
2011-04-01,3994.2336000708347
2011-05-01,3905.8389512286176
2011-06-01,3760.283595255987
2011-07-01,3687.5494959440075
2011-08-01,3240.646312034414
2011-09-01,3122.828875045804
2011-10-01,3307.7500939025917
2011-11-01,3153.9459347273387
2011-12-01,3114.6129142184454
2012-01-01,3175.4119865540706
2012-02-01,3292.839813247977
2012-03-01,3357.1986726067857
2012-04-01,3382.762901581598
2012-05-01,3166.8609441887575
2012-06-01,3202.6023788616585
2012-07-01,3112.065114894039
2012-08-01,3157.969957419965
2012-09-01,3316.601636987708
2012-10-01,3325.9978236368584
2012-11-01,3391.665621169863
2012-12-01,3386.1657176104763
2013-01-01,3693.560205936373
2013-02-01,3707.917359297079
2013-03-01,3816.5214762183714
2013-04-01,3851.3377248781962
2013-05-01,3772.3297733442296
2013-06-01,3808.928087599152
2013-07-01,3836.0669471646124
2013-08-01,3836.999592637855
2013-09-01,3985.0119683299577
2013-10-01,4050.6995075685177
2013-11-01,4150.551129542726
2013-12-01,4326.380412473666
2014-01-01,4380.179322240989
2014-02-01,4484.254429837097
2014-03-01,4343.891886117194
2014-04-01,4213.580783315747
2014-05-01,4190.869979193851
2014-06-01,4406.611628253831
2014-07-01,4354.064437265345
2014-08-01,4365.138142245999
2014-09-01,4374.48238143605
2014-10-01,4251.563429971276
2014-11-01,4266.223719722885
2014-12-01,4230.866389021642
2015-01-01,4115.745603632297
2015-02-01,4234.936424329856
2015-03-01,4345.916698125079
2015-04-01,4600.438324996236
2015-05-01,4520.47969555856
2015-06-01,4557.497172133874
2015-07-01,4398.3094389657745
2015-08-01,4259.907529722589
2015-09-01,4084.7961622816024
2015-10-01,4203.947583679612
2015-11-01,4184.541690346676
2015-12-01,4063.997933467335
2016-01-01,3891.8400766865043
2016-02-01,3761.9784352462334
2016-03-01,3821.8025873098613
2016-04-01,3885.821457718626
2016-05-01,3826.488048742384
2016-06-01,3794.094534137327
2016-07-01,3974.7906969539727
2016-08-01,3927.3963217010396
2016-09-01,4141.0887865858795
2016-10-01,3991.2213856798858
2016-11-01,4088.002604344106
2016-12-01,3999.8186612668023
2017-01-01,4157.175364419444
2017-02-01,4245.20709529071
2017-03-01,4290.635491250482
2017-04-01,4369.250907800055
2017-05-01,4294.850724819255
2017-06-01,4302.1832774934655
2017-07-01,4356.88369945247
2017-08-01,4355.234820444308
2017-09-01,4411.273835766928
2017-10-01,4404.591271077746
2017-11-01,4532.249792321307
2017-12-01,4630.5423687300545
2018-01-01,4789.220376538637
2018-02-01,4624.346741413548
2018-03-01,4604.644358332084
2018-04-01,4647.389907309114
2018-05-01,4746.813885498566
2018-06-01,4576.090031972384
2018-07-01,4605.350415532008
2018-08-01,4586.836998706339
2018-09-01,4549.689375592293
2018-10-01,4262.201366384692
2018-11-01,4148.997395468676
2018-12-01,3852.7330608613456
2019-01-01,3931.1534817458173
2019-02-01,4006.5695594327985
2019-03-01,3943.074016829813
2019-04-01,4033.799941074499
2019-05-01,3867.8966839857458
2019-06-01,4028.3189666819794
2019-07-01,4044.7846414273054
2019-08-01,3772.39822630623
2019-09-01,3694.490596132119
2019-10-01,3652.5312662587835
2019-11-01,3683.851987447699
2019-12-01,3774.0413748167457
2020-01-01,3641.7213863914794
2020-02-01,3518.446564343527
2020-03-01,2989.403106093682
2020-04-01,3074.6368361528953
2020-05-01,3081.169247584049
2020-06-01,3215.2791144008843
2020-07-01,3347.7862495500503
2020-08-01,3506.273355348918
2020-09-01,3517.398199166779
2020-10-01,3514.911289290741
2020-11-01,3801.2212454598093
2020-12-01,4070.1465287695455
2021-01-01,4120.981474792301
2021-02-01,4142.593855960248
2021-03-01,4138.996236137109
2021-04-01,4199.103859155209
2021-05-01,4211.476611760106
2021-06-01,4307.753539319533
2021-07-01,4092.0453829489225
2021-08-01,4373.8693997802375
2021-09-01,4304.451646727992
2021-10-01,4422.641973091627
2021-11-01,4305.410130343693
2021-12-01,4232.892068394515
2022-01-01,3832.041570438799
2022-02-01,3844.707431138607
2022-03-01,3670.3875741274537
2022-04-01,3550.563862284389
2022-05-01,3466.6728055434055
2022-06-01,3156.614875849837
2022-07-01,3217.9718096504844
2022-08-01,3178.577700548105
2022-09-01,3083.179718152903
2022-10-01,3026.899331360809
2022-11-01,3007.4183075234155
2022-12-01,2849.3682776760133
2023-01-01,3013.3744372491706
2023-02-01,2939.236168319768
2023-03-01,3081.2773311436595
2023-04-01,3043.8650572697406
2023-05-01,3092.555341651584
2023-06-01,3275.2448399705763
2023-07-01,3414.1078918003773
2023-08-01,3317.0253932194905
2023-09-01,3281.5334637889323
2023-10-01,3064.09619493655
2023-11-01,3185.5349095028077
2023-12-01,3372.689251560552
2024-01-01,3367.771866109509
2024-02-01,3550.192570505653
2024-03-01,3738.6275323139707
2024-04-01,3699.785779376613
2024-05-01,3850.6377047386623
2024-06-01,3841.4022896850256
2024-07-01,3843.6760795058617
2024-08-01,3762.540827307569
2024-09-01,3823.366792825407
2024-10-01,3822.2989982139425
2024-11-01,4152.730256104269
2024-12-01,4184.921273951754
2025-01-01,4349.58534627183
2025-02-01,4248.011659379555
2025-03-01,4057.9338702019477
2025-04-01,3905.996133304555
2025-05-01,4218.008610424109
2025-06-01,4594.421755064088
2025-07-01,4643.723887375113
2025-08-01,4797.9707428385145
2025-09-01,5081.094978417072
2025-10-01,5320.965066464076
2025-11-01,5450.909890741289
2025-12-01,5482.796877446485
2026-01-01,5702.549789783899
2026-02-01,5538.480576302647
2026-03-01,5381.735312786514
2026-04-01,5719.401872437457
